ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,JOB,BEGIN_MONTHS,STATUS,TARGET
5137206,M,N,N,No children,90000,Secondary / secondary special,Single / not married,With parents,-9900,-170,1,1,0,0,Drivers,-37,2,1
5142458,F,N,Y,No children,67500,Higher education,Separated,House / apartment,-18952,-499,1,0,1,0,Core staff,-49,4,1
5085886,M,Y,Y,No children,315000,Higher education,Married,House / apartment,-18661,-1265,1,0,0,0,Managers,-24,5,1
5079168,M,Y,N,No children,202500,Secondary / secondary special,Married,With parents,-13720,-1394,1,0,0,0,Laborers,-2,5,1
5137206,M,N,N,No children,90000,Secondary / secondary special,Single / not married,With parents,-9900,-170,1,1,0,0,Drivers,-8,4,1
5041415,F,Y,N,No children,157500,Higher education,Married,House / apartment,-13146,-2163,1,0,0,0,High skill tech staff,-50,2,1
5092394,M,Y,Y,1 children,157500,Secondary / secondary special,Married,House / apartment,-11050,-443,1,1,0,0,Drivers,-8,2,1
5116036,M,Y,Y,No children,126000,Higher education,Single / not married,House / apartment,-14522,-863,1,1,0,0,Managers,-18,4,1
5137203,M,N,N,No children,90000,Secondary / secondary special,Single / not married,With parents,-9900,-170,1,1,0,0,Drivers,0,4,1
5022617,M,Y,Y,No children,202500,Secondary / secondary special,Civil marriage,House / apartment,-12022,-1674,1,0,0,1,Laborers,-45,2,1
5023642,M,Y,N,2+ children,225000,Secondary / secondary special,Married,House / apartment,-14776,-2212,1,0,0,0,Drivers,-2,2,1
5142239,F,Y,Y,No children,270000,Higher education,Married,House / apartment,-16421,-8230,1,0,0,0,Managers,-15,5,1
5066441,M,Y,Y,No children,157500,Secondary / secondary special,Married,House / apartment,-17344,-553,1,0,0,1,Drivers,-18,2,1
5021431,F,N,Y,No children,126000,Higher education,Single / not married,House / apartment,-18907,-2470,1,0,0,0,Sales staff,-9,5,1
5125763,M,Y,N,1 children,135000,Secondary / secondary special,Single / not married,House / apartment,-13030,-1626,1,0,1,0,Laborers,0,4,1
5100430,M,Y,N,No children,180000,Secondary / secondary special,Single / not married,House / apartment,-16310,-613,1,0,0,0,Laborers,-16,5,1
5018501,F,Y,Y,No children,90000,Secondary / secondary special,Married,House / apartment,-18950,-1002,1,1,1,0,Cooking staff,-19,4,1
5146005,M,Y,Y,No children,225000,Secondary / secondary special,Single / not married,House / apartment,-10177,-189,1,0,0,1,Managers,-38,5,1
5079167,M,Y,N,No children,202500,Secondary / secondary special,Married,With parents,-13720,-1394,1,0,0,0,Laborers,-5,5,1
5090737,F,N,N,No children,225000,Secondary / secondary special,Single / not married,House / apartment,-18972,-3715,1,0,0,0,Laborers,-4,5,1
5135487,F,N,Y,No children,135000,Higher education,Single / not married,Municipal apartment,-10660,-1935,1,0,0,0,Core staff,-24,5,1
5135345,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-28,5,1
5058530,M,N,N,No children,391500,Secondary / secondary special,Single / not married,Municipal apartment,-9242,-508,1,0,0,0,Sales staff,-26,4,1
5021310,M,N,Y,No children,270000,Secondary / secondary special,Married,House / apartment,-16896,-248,1,0,0,0,Laborers,-23,5,1
5069216,F,Y,Y,No children,256500,Higher education,Married,House / apartment,-11210,-1724,1,1,0,0,Accountants,-54,3,1
5065316,F,N,Y,1 children,157500,Higher education,Married,House / apartment,-15645,-4280,1,0,0,0,Core staff,-14,5,1
5111145,M,N,N,No children,135000,Secondary / secondary special,Civil marriage,With parents,-15104,-1699,1,0,0,0,Laborers,0,2,1
5118167,M,Y,N,2+ children,225000,Secondary / secondary special,Married,House / apartment,-12801,-4357,1,0,0,0,Laborers,-34,2,1
5096013,M,N,N,1 children,270000,Secondary / secondary special,Married,House / apartment,-9943,-554,1,1,0,0,Managers,-4,2,1
5097145,M,Y,N,1 children,405000,Secondary / secondary special,Married,House / apartment,-14740,-1434,1,0,1,0,Managers,-3,5,1
5117787,F,Y,N,2+ children,162000,Incomplete higher,Married,House / apartment,-9662,-796,1,1,1,0,Core staff,-10,2,1
5033435,M,Y,N,2+ children,315000,Secondary / secondary special,Married,House / apartment,-15476,-2879,1,0,1,0,Laborers,-5,2,1
5079166,M,Y,N,No children,202500,Secondary / secondary special,Married,With parents,-13720,-1394,1,0,0,0,Laborers,-20,5,1
5117787,F,Y,N,2+ children,162000,Incomplete higher,Married,House / apartment,-9662,-796,1,1,1,0,Core staff,-9,3,1
5069216,F,Y,Y,No children,256500,Higher education,Married,House / apartment,-11210,-1724,1,1,0,0,Accountants,-51,2,1
5149188,M,Y,N,1 children,450000,Higher education,Married,House / apartment,-9847,-502,1,0,1,1,Core staff,-22,5,1
5065518,F,Y,N,1 children,202500,Higher education,Married,Rented apartment,-9510,-2878,1,0,0,0,Laborers,-32,5,1
5135344,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-33,5,1
5092087,M,Y,Y,2+ children,247500,Secondary / secondary special,Married,House / apartment,-17320,-535,1,0,0,0,Laborers,-20,5,1
5117313,F,N,Y,1 children,157500,Secondary / secondary special,Married,House / apartment,-13022,-3931,1,1,1,0,Laborers,-6,5,1
5046324,F,N,Y,1 children,157500,Secondary / secondary special,Single / not married,House / apartment,-15466,-2269,1,0,1,0,Low-skill Laborers,-31,5,1
5146079,F,N,Y,1 children,108000,Secondary / secondary special,Married,House / apartment,-12723,-1132,1,1,1,0,Sales staff,-40,3,1
5022044,F,Y,N,1 children,225000,Secondary / secondary special,Separated,House / apartment,-11714,-1740,1,0,0,1,Core staff,-37,3,1
5148932,M,Y,N,No children,108000,Secondary / secondary special,Married,Office apartment,-17209,-1081,1,0,0,0,Security staff,-40,5,1
5069475,F,N,Y,2+ children,225000,Higher education,Married,House / apartment,-13600,-5711,1,0,1,0,Core staff,-10,5,1
5117794,F,Y,N,2+ children,162000,Incomplete higher,Married,House / apartment,-9662,-796,1,1,1,0,Core staff,-6,2,1
5062594,M,Y,Y,1 children,135000,Higher education,Married,House / apartment,-8972,-145,1,0,0,1,Core staff,-18,2,1
5135636,M,Y,Y,No children,195750,Secondary / secondary special,Married,House / apartment,-18836,-931,1,1,1,0,Laborers,-55,3,1
5091380,F,Y,Y,2+ children,216000,Higher education,Married,House / apartment,-12757,-4887,1,0,0,0,Core staff,-31,2,1
5029451,F,Y,Y,No children,225000,Higher education,Married,House / apartment,-17402,-3153,1,0,1,0,Core staff,-44,2,1
5135345,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-20,5,1
5113758,F,N,Y,1 children,112500,Secondary / secondary special,Married,House / apartment,-10796,-1958,1,1,1,0,Sales staff,-13,2,1
5065376,F,N,Y,No children,215550,Higher education,Married,House / apartment,-10429,-931,1,0,1,0,High skill tech staff,-27,3,1
5079168,M,Y,N,No children,202500,Secondary / secondary special,Married,With parents,-13720,-1394,1,0,0,0,Laborers,-11,5,1
5010869,M,Y,Y,1 children,450000,Secondary / secondary special,Single / not married,House / apartment,-18173,-678,1,0,1,1,Core staff,-1,5,1
5085886,M,Y,Y,No children,315000,Higher education,Married,House / apartment,-18661,-1265,1,0,0,0,Managers,-19,5,1
5117313,F,N,Y,1 children,157500,Secondary / secondary special,Married,House / apartment,-13022,-3931,1,1,1,0,Laborers,-45,3,1
5056083,F,N,N,1 children,180000,Higher education,Married,House / apartment,-11630,-3769,1,0,0,0,Laborers,-40,2,1
5018501,F,Y,Y,No children,90000,Secondary / secondary special,Married,House / apartment,-18950,-1002,1,1,1,0,Cooking staff,-16,5,1
5135344,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-14,5,1
5068389,F,Y,Y,1 children,270000,Higher education,Separated,House / apartment,-14052,-140,1,0,1,0,Sales staff,-26,5,1
5105647,M,Y,Y,No children,202500,Higher education,Married,House / apartment,-17585,-3017,1,0,0,0,Drivers,-14,2,1
5135346,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-20,5,1
5046324,F,N,Y,1 children,157500,Secondary / secondary special,Single / not married,House / apartment,-15466,-2269,1,0,1,0,Low-skill Laborers,-1,5,1
5085886,M,Y,Y,No children,315000,Higher education,Married,House / apartment,-18661,-1265,1,0,0,0,Managers,-18,5,1
5135990,F,N,Y,1 children,585000,Higher education,Single / not married,House / apartment,-10430,-900,1,0,0,0,Managers,-23,5,1
5045929,M,N,N,No children,247500,Secondary / secondary special,Single / not married,House / apartment,-15037,-2208,1,0,0,0,Laborers,-27,2,1
5033514,F,Y,N,1 children,135000,Secondary / secondary special,Married,House / apartment,-15952,-384,1,1,0,0,Sales staff,-6,4,1
5010894,M,Y,Y,No children,112500,Secondary / secondary special,Married,House / apartment,-22720,-860,1,0,1,1,Low-skill Laborers,-36,2,1
5105056,M,Y,N,No children,225000,Higher education,Single / not married,Municipal apartment,-11528,-606,1,0,1,1,High skill tech staff,-35,4,1
5079167,M,Y,N,No children,202500,Secondary / secondary special,Married,With parents,-13720,-1394,1,0,0,0,Laborers,-10,5,1
5069216,F,Y,Y,No children,256500,Higher education,Married,House / apartment,-11210,-1724,1,1,0,0,Accountants,-53,2,1
5135636,M,Y,Y,No children,195750,Secondary / secondary special,Married,House / apartment,-18836,-931,1,1,1,0,Laborers,-53,5,1
5024071,F,N,Y,No children,180000,Higher education,Married,House / apartment,-15976,-854,1,0,0,0,Laborers,-38,5,1
5135990,F,N,Y,1 children,585000,Higher education,Single / not married,House / apartment,-10430,-900,1,0,0,0,Managers,-15,5,1
5036469,M,Y,N,No children,112500,Secondary / secondary special,Single / not married,House / apartment,-20333,-1546,1,0,0,0,Drivers,-22,5,1
5056083,F,N,N,1 children,180000,Higher education,Married,House / apartment,-11630,-3769,1,0,0,0,Laborers,-43,2,1
5046324,F,N,Y,1 children,157500,Secondary / secondary special,Single / not married,House / apartment,-15466,-2269,1,0,1,0,Low-skill Laborers,-36,4,1
5051160,M,Y,N,1 children,135000,Secondary / secondary special,Married,House / apartment,-9594,-866,1,0,0,0,Laborers,-14,5,1
5052879,M,Y,Y,No children,225000,Secondary / secondary special,Married,House / apartment,-17915,-3366,1,0,0,0,Drivers,-9,4,1
5085886,M,Y,Y,No children,315000,Higher education,Married,House / apartment,-18661,-1265,1,0,0,0,Managers,-41,5,1
5018498,F,Y,Y,No children,90000,Secondary / secondary special,Married,House / apartment,-18950,-1002,1,1,1,0,Cooking staff,-39,4,1
5135990,F,N,Y,1 children,585000,Higher education,Single / not married,House / apartment,-10430,-900,1,0,0,0,Managers,-21,4,1
5010869,M,Y,Y,1 children,450000,Secondary / secondary special,Single / not married,House / apartment,-18173,-678,1,0,1,1,Core staff,-2,5,1
5054386,M,Y,N,No children,292500,Higher education,Single / not married,House / apartment,-14050,-3680,1,1,1,0,Laborers,-29,2,1
5079166,M,Y,N,No children,202500,Secondary / secondary special,Married,With parents,-13720,-1394,1,0,0,0,Laborers,-19,5,1
5036590,M,Y,Y,No children,292500,Higher education,Married,House / apartment,-21055,-808,1,0,0,0,Drivers,0,5,1
5010868,M,Y,Y,1 children,450000,Secondary / secondary special,Married,House / apartment,-18173,-678,1,0,1,1,Core staff,-1,5,1
5062137,M,N,Y,1 children,180000,Secondary / secondary special,Single / not married,House / apartment,-12947,-137,1,0,0,0,Laborers,-44,3,1
5069218,F,Y,Y,No children,256500,Higher education,Single / not married,House / apartment,-11210,-1724,1,1,0,0,Accountants,-41,2,1
5146079,F,N,Y,1 children,108000,Secondary / secondary special,Married,House / apartment,-12723,-1132,1,1,1,0,Sales staff,-38,5,1
5023534,F,N,Y,No children,202500,Secondary / secondary special,Separated,House / apartment,-13920,-904,1,0,0,0,Core staff,-34,2,1
5090737,F,N,N,No children,225000,Secondary / secondary special,Single / not married,House / apartment,-18972,-3715,1,0,0,0,Laborers,0,5,1
5112802,M,Y,Y,1 children,292500,Secondary / secondary special,Married,House / apartment,-16666,-4469,1,0,1,0,Laborers,-40,2,1
5092479,M,N,N,1 children,85500,Secondary / secondary special,Married,Municipal apartment,-15014,-6866,1,0,0,0,Core staff,-31,5,1
5068389,F,Y,Y,1 children,270000,Higher education,Separated,House / apartment,-14052,-140,1,0,1,0,Sales staff,-22,5,1
5038807,M,Y,Y,No children,202500,Higher education,Married,House / apartment,-12658,-5374,1,0,0,1,Laborers,0,5,1
5085886,M,Y,Y,No children,315000,Higher education,Married,House / apartment,-18661,-1265,1,0,0,0,Managers,-35,5,1
5146079,F,N,Y,1 children,108000,Secondary / secondary special,Married,House / apartment,-12723,-1132,1,1,1,0,Sales staff,-39,4,1
5093286,M,N,Y,No children,157500,Secondary / secondary special,Married,House / apartment,-17576,-1216,1,0,0,0,Laborers,-14,4,1
5149834,F,N,Y,No children,157500,Higher education,Married,House / apartment,-12387,-1325,1,0,1,1,Medicine staff,-8,5,1
5135990,F,N,Y,1 children,585000,Higher education,Single / not married,House / apartment,-10430,-900,1,0,0,0,Managers,-11,5,1
5033514,F,Y,N,1 children,135000,Secondary / secondary special,Married,House / apartment,-15952,-384,1,1,0,0,Sales staff,-5,5,1
5051160,M,Y,N,1 children,135000,Secondary / secondary special,Married,House / apartment,-9594,-866,1,0,0,0,Laborers,-17,5,1
5137228,F,N,N,No children,180000,Higher education,Married,House / apartment,-10868,-1266,1,1,1,1,Accountants,-19,2,1
5052659,F,N,Y,No children,103500,Secondary / secondary special,Married,House / apartment,-10396,-564,1,0,0,1,IT staff,-10,2,1
5135344,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-6,5,1
5036590,M,Y,Y,No children,292500,Higher education,Married,House / apartment,-21055,-808,1,0,0,0,Drivers,-4,5,1
5114236,F,N,N,No children,270000,Secondary / secondary special,Married,House / apartment,-16723,-712,1,1,0,0,Managers,-41,2,1
5058532,M,N,N,No children,391500,Secondary / secondary special,Single / not married,Municipal apartment,-9242,-508,1,0,0,0,Sales staff,-3,4,1
5089162,F,Y,N,No children,225000,Higher education,Married,House / apartment,-20264,-2531,1,1,1,0,Accountants,-12,5,1
5135345,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-26,5,1
5089162,F,Y,N,No children,225000,Higher education,Married,House / apartment,-20264,-2531,1,1,1,0,Accountants,-10,5,1
5078802,F,N,Y,No children,306000,Secondary / secondary special,Married,House / apartment,-18927,-2978,1,0,0,0,High skill tech staff,-11,5,1
5135346,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-3,5,1
5142362,M,Y,Y,1 children,112500,Secondary / secondary special,Married,House / apartment,-16204,-925,1,1,1,0,Drivers,-42,5,1
5069218,F,Y,Y,No children,256500,Higher education,Single / not married,House / apartment,-11210,-1724,1,1,0,0,Accountants,-40,3,1
5135345,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-13,5,1
5142361,M,Y,Y,1 children,112500,Secondary / secondary special,Married,House / apartment,-16204,-925,1,1,1,0,Drivers,-12,5,1
5078820,F,N,N,2+ children,225000,Secondary / secondary special,Married,House / apartment,-14476,-4987,1,0,0,0,High skill tech staff,-22,4,1
5065313,F,N,Y,1 children,157500,Higher education,Married,House / apartment,-15645,-4280,1,0,0,0,Core staff,-23,5,1
5069475,F,N,Y,2+ children,225000,Higher education,Married,House / apartment,-13600,-5711,1,0,1,0,Core staff,-7,5,1
5069219,F,Y,Y,No children,256500,Higher education,Married,House / apartment,-11210,-1724,1,1,0,0,Accountants,-12,2,1
5021310,M,N,Y,No children,270000,Secondary / secondary special,Married,House / apartment,-16896,-248,1,0,0,0,Laborers,-25,5,1
5135990,F,N,Y,1 children,585000,Higher education,Single / not married,House / apartment,-10430,-900,1,0,0,0,Managers,-14,5,1
5085886,M,Y,Y,No children,315000,Higher education,Married,House / apartment,-18661,-1265,1,0,0,0,Managers,-6,5,1
5051160,M,Y,N,1 children,135000,Secondary / secondary special,Married,House / apartment,-9594,-866,1,0,0,0,Laborers,-18,5,1
5135345,M,N,Y,No children,112500,Higher education,Married,House / apartment,-20103,-555,1,0,0,0,Security staff,-17,5,1
5058531,M,N,N,No children,391500,Secondary / secondary special,Single / not married,Municipal apartment,-9242,-508,1,0,0,0,Sales staff,-9,2,1
5041175,F,N,Y,1 children,180000,Incomplete higher,Married,Municipal apartment,-10754,-65,1,1,1,0,Core staff,-15,4,1
5149188,M,Y,N,1 children,450000,Higher education,Married,House / apartment,-9847,-502,1,0,1,1,Core staff,-27,5,1
5033514,F,Y,N,1 children,135000,Secondary / secondary special,Married,House / apartment,-15952,-384,1,1,0,0,Sales staff,-3,5,1
5052879,M,Y,Y,No children,225000,Secondary / secondary special,Married,House / apartment,-17915,-3366,1,0,0,0,Drivers,-11,2,1
5025127,M,N,Y,No children,292500,Secondary / secondary special,Married,House / apartment,-11111,-3350,1,0,0,0,High skill tech staff,-12,3,1
5085886,M,Y,Y,No children,315000,Higher education,Married,House / apartment,-18661,-1265,1,0,0,0,Managers,-15,5,1
5038807,M,Y,Y,No children,202500,Higher education,Married,House / apartment,-12658,-5374,1,0,0,1,Laborers,-6,5,1
5116036,M,Y,Y,No children,126000,Higher education,Single / not married,House / apartment,-14522,-863,1,1,0,0,Managers,-20,2,1
5142361,M,Y,Y,1 children,112500,Secondary / secondary special,Married,House / apartment,-16204,-925,1,1,1,0,Drivers,-26,5,1
5093286,M,N,Y,No children,157500,Secondary / secondary special,Married,House / apartment,-17576,-1216,1,0,0,0,Laborers,0,5,1
5105653,M,Y,Y,No children,202500,Higher education,Married,House / apartment,-17585,-3017,1,0,0,0,Drivers,-3,2,1
5126349,F,N,N,No children,135000,Secondary / secondary special,Married,House / apartment,-15218,-2265,1,0,1,0,Managers,-12,4,1
5135636,M,Y,Y,No children,195750,Secondary / secondary special,Married,House / apartment,-18836,-931,1,1,1,0,Laborers,-16,5,1
5096209,M,N,N,No children,81000,Secondary / secondary special,Civil marriage,House / apartment,-14211,-158,1,1,0,0,Low-skill Laborers,-4,2,1
5142361,M,Y,Y,1 children,112500,Secondary / secondary special,Married,House / apartment,-16204,-925,1,1,1,0,Drivers,-42,5,1
5021430,F,N,Y,No children,126000,Higher education,Single / not married,House / apartment,-18907,-2470,1,0,0,0,Sales staff,-1,5,1
5061091,F,Y,N,2+ children,135000,Secondary / secondary special,Married,House / apartment,-11128,-3242,1,1,0,0,Sales staff,-48,2,1
5149838,F,N,Y,No children,157500,Higher education,Married,House / apartment,-12387,-1325,1,0,1,1,Medicine staff,-15,5,1
5105740,F,N,Y,2+ children,292500,Secondary / secondary special,Married,House / apartment,-12368,-672,1,0,0,0,Core staff,-23,2,1
5085886,M,Y,Y,No children,315000,Higher education,Married,House / apartment,-18661,-1265,1,0,0,0,Managers,-40,5,1
5089201,M,N,N,No children,135000,Higher education,Married,House / apartment,-13155,-2927,1,1,0,0,Managers,-27,2,1
5085886,M,Y,Y,No children,315000,Higher education,Married,House / apartment,-18661,-1265,1,0,0,0,Managers,-4,5,1
5117313,F,N,Y,1 children,157500,Secondary / secondary special,Married,House / apartment,-13022,-3931,1,1,1,0,Laborers,-4,5,1
5117313,F,N,Y,1 children,157500,Secondary / secondary special,Married,House / apartment,-13022,-3931,1,1,1,0,Laborers,-38,5,1
5113621,M,N,N,No children,225000,Secondary / secondary special,Widow,Municipal apartment,-19406,-346,1,0,0,0,Security staff,-1,5,1
5023963,M,N,Y,2+ children,90000,Secondary / secondary special,Married,House / apartment,-12681,-1677,1,0,0,0,Core staff,-41,2,1
5149190,M,Y,N,1 children,450000,Higher education,Married,House / apartment,-9847,-502,1,0,1,1,Core staff,-2,5,1
5096078,M,N,N,1 children,207000,Higher education,Married,Office apartment,-14891,-2623,1,0,0,0,Core staff,-14,3,1
5149834,F,N,Y,No children,157500,Higher education,Married,House / apartment,-12387,-1325,1,0,1,1,Medicine staff,-12,4,1
5053674,F,Y,Y,No children,225000,Secondary / secondary special,Single / not married,House / apartment,-12075,-1430,1,0,1,0,High skill tech staff,-21,2,1
5096528,F,N,N,No children,135000,Secondary / secondary special,Widow,Co-op apartment,-20012,-584,1,0,0,0,Core staff,-24,3,1
5078801,F,N,Y,No children,306000,Secondary / secondary special,Married,House / apartment,-18927,-2978,1,0,0,0,High skill tech staff,-5,5,1
5142362,M,Y,Y,1 children,112500,Secondary / secondary special,Married,House / apartment,-16204,-925,1,1,1,0,Drivers,-44,5,1
